"Lon","Lat","Province ID","Province","2009 Non-Reporting","2009 Total Centers","2009 % Non-Reporting"
70.85,36.95,15,"Badakhshan",0,281,0
63.75,35.12,29,"Badghis",0,189,0
69.05,35.79,9,"Baghlan",1,257,0.39
67.07,36.69,18,"Balkh",0,319,0
67.31,34.9,10,"Bamyan",0,166,0
66.18,33.69,22,"Daykundi",0,168,0
62.43,32.53,31,"Farah",3,220,1.36
64.71,35.94,28,"Faryab",0,208,0
67.81,33.32,11,"Ghazni",0,405,0
64.88,34.19,21,"Ghor",1,238,0.42
64.02,31.12,32,"Hilmand",0,222,0
62.13,34.2,30,"Hirat",1,468,0.21
65.92,36.8,27,"Jawzjan",0,122,0
69.4,34.5,1,"Kabul",2,518,0.39
65.66,31.03,33,"Kandahar",2,271,0.74
69.68,34.97,2,"Kapisa",1,108,0.93
69.83,33.38,26,"Khost",4,175,2.29
71.07,34.93,13,"Kunar",1,119,0.84
68.75,36.84,17,"Kunduz",2,216,0.93
70.21,34.75,7,"Laghman",0,128,0
69.17,34.01,5,"Logar",0,82,0
70.53,34.27,6,"Nangarhar",6,507,1.18
62.45,30.84,34,"Nimroz",0,57,0
70.81,35.28,14,"Nuristan",2,73,2.74
68.74,32.48,25,"Paktika",23,306,7.52
69.34,33.67,12,"Paktya",2,212,0.94
69.83,35.48,8,"Panjsher",0,96,0
68.89,35.02,3,"Parwan",0,151,0
67.75,35.93,19,"Samangan",0,96,0
66.15,35.53,20,"Sari Pul",0,136,0
69.65,36.7,16,"Takhar",0,203,0
66.08,32.82,23,"Uruzgan",2,49,4.08
68.22,34.3,4,"Wardak",2,160,1.25
67.09,32.2,24,"Zabul",2,44,4.55
