province,polling_centers,polling_stations,processed_ballots_male,processed_ballots_female,processed_ballots_total,invalid_ballots_male,invalid_ballots_female,invalid_ballots_total,turnout_total,male_turnout,pct_male_turnout,female_turnout,pct_female_turnout
Kabul,552,2491,556021,255477,811498,16119,8347,24466,835964,572140,68.44,263824,31.56
Kapisa,78,257,43952,24872,68824,1273,657,1930,70754,45225,63.92,25529,36.08
Parwan,136,413,101016,52180,153196,3624,2574,6198,159394,104640,65.65,54754,34.35
Wardak,116,260,65066,38514,103580,1346,419,1765,105345,66412,63.04,38933,36.96
Logar,65,258,26554,7936,34490,650,113,763,35253,27204,77.17,8049,22.83
Ghazni,314,911,258959,135509,394468,3574,2127,5701,400169,262533,65.61,137636,34.39
Paktika,226,538,121658,70907,192565,1333,1683,3016,195581,122991,62.88,72590,37.12
Paktia,200,577,163281,96510,259791,1895,711,2606,262397,165176,62.95,97221,37.05
Khost,183,517,80528,35091,115619,1560,300,1860,117479,82088,69.87,35391,30.13
Nangerhar,333,1029,229643,119316,348959,5916,2433,8349,357308,235559,65.93,121749,34.07
Kunarha,91,367,75702,38576,114278,1444,575,2019,116297,77146,66.34,39151,33.66
Laghman,80,273,58504,30330,88834,1548,732,2280,91114,60052,65.91,31062,34.09
Nooristan,30,116,40074,25148,65222,200,142,342,65564,40274,61.43,25290,38.57
Badakhshan,278,793,192341,119387,311728,4253,3010,7263,318991,196594,61.63,122397,38.37
Takhar,215,801,193513,127752,321265,8397,9028,17425,338690,201910,59.61,136780,40.39
Baghlan,275,707,178990,108366,287356,4849,3837,8686,296042,183839,62.1,112203,37.9
Kunduz,203,682,145279,73963,219242,6827,4068,10895,230137,152106,66.09,78031,33.91
Samangan,100,330,84107,58980,143087,3699,3432,7131,150218,87806,58.45,62412,41.55
Balkh,318,1049,259958,163778,423736,10710,7597,18307,442043,270668,61.23,171375,38.77
Juzjan,117,452,93882,56585,150467,4678,3744,8422,158889,98560,62.03,60329,37.97
Sar-i-pul,109,378,84741,65420,150161,3037,2721,5758,155919,87778,56.3,68141,43.7
Faryab,175,583,164535,113433,277968,3273,2537,5810,283778,167808,59.13,115970,40.87
Badghis,123,339,79897,52555,132452,1950,1855,3805,136257,81847,60.07,54410,39.93
Herat,406,1373,320592,223454,544046,9283,8030,17313,561359,329875,58.76,231484,41.24
Farah,159,412,58755,36982,95737,2289,1078,3367,99104,61044,61.6,38060,38.4
Nimroz,60,167,33838,14195,48033,1985,1410,3395,51428,35823,69.66,15605,30.34
Helmand,147,634,89475,19603,109078,6520,980,7500,116578,95995,82.34,20583,17.66
Kandahar,232,942,245315,63947,309262,9101,1657,10758,320020,254416,79.5,65604,20.5
Zabul,45,135,18725,1856,20581,3892,84,3976,24557,22617,92.1,1940,7.9
Urozgan,48,190,20472,3180,23652,2331,356,2687,26339,22803,86.58,3536,13.42
Ghor,188,579,188858,122466,311324,2679,1818,4497,315821,191537,60.65,124284,39.35
Bamyan,188,472,97640,74286,171926,1998,2399,4397,176323,99638,56.51,76685,43.49
Panjshir,108,270,24728,19065,43793,384,451,835,44628,25112,56.27,19516,43.73
Daikondi,178,489,97477,75154,172631,2409,2976,5385,178016,99886,56.11,78130,43.89
,6076,19784,4494076,2524773,7018849,135026,83881,218907,7237756,4629102,63.96%,2608654,36.04%
