id,name,registeredMen,registeredWomen,registeredNomad,registeredHinduSikh,registeredTotal
1,KABUL,1041185,522214,68039,759,1632197
2,KAPISA,99572,44161,12907,0,156640
3,PARWAN,139712,72958,1186,0,213856
4,MAYDANWARDAK,100391,41090,614,0,142095
5,LOGAR,67743,23662,9752,0,101157
6,NANGARHAR,528776,264893,13351,342,807362
7,LAGHMAN,110123,46714,4720,0,161557
8,PANJSHIR,42764,30645,29,0,73438
9,BAGHLAN,237169,169551,5621,0,412341
10,BAMYAN,82108,85148,64,0,167320
12,PAKTIKA,158406,38611,10034,0,207051
13,PAKTYA,222095,157485,4085,0,383665
14,KHOST,172381,55538,6081,0,234000
15,KUNARHA,108374,60978,289,0,169641
16,NOORESTAN,42124,24904,40,0,67068
17,BADAKHSHAN,171569,123939,287,0,295795
18,TAKHAR,152971,135833,374,0,289178
19,KUNDUZ,108832,60843,127,0,169802
20,SAMANGAN,70600,63532,75,0,134207
21,BALKH,246816,195564,5435,0,447815
22,SARE PUL,68374,66373,853,0,135600
23,GHOR,153039,85563,373,0,238975
24,DAYKUNDI,75467,91408,67,0,166942
25,URUZGAN,54032,1967,326,0,56325
26,ZABUL,57531,3363,3829,0,64723
27,KANDAHAR,442512,67276,13196,0,522984
28,JAWZJAN,46470,48379,305,0,95154
29,FARYAB,104454,84974,138,0,189566
30,HELMAND,261709,41679,2986,4,306378
31,BADGHIS,59945,32883,1479,0,94307
32,HERAT,297391,239818,1932,0,539141
33,FARAH,42692,22581,552,0,65825
34,NIMROZ,65068,26609,926,0,92603
35,KUCHI,,,,,
36,SIKH,,,,,
