provId,Province,ECC,regComplaints,recountedPS,invalidatedPS
1,KABUL,507,1400,1699,20
2,KAPISA,42,196,177,
3,PARWAN,,92,42,
4,MAYDANWARDAK,,207,25,
5,LOGAR,133,360,18,
6,NANGARHAR,836,2283,1582,
7,LAGHMAN,176,335,43,
8,PANJSHIR,3,22,0,
9,BAGHLAN,81,553,6,
10,BAMYAN,6,36,0,
11,GHAZNI,86,466,65,
12,PAKTIKA,477,997,383,5
13,PAKTYA,793,1283,186,9
14,KHOST,880,1567,53,
15,KUNARHA,225,503,243,
16,NOORESTAN,2,103,0,
17,BADAKHSHAN,3,64,62,
18,TAKHAR,,162,73,
19,KUNDUZ,14,63,46,
20,SAMANGAN,2,17,0,
21,BALKH,4,158,0,
22,SARE PUL,3,21,0,
23,GHOR,142,297,51,
24,DAYKUNDI,21,55,0,
25,URUZGAN,2,49,0,1
26,ZABUL,28,243,61,
27,KANDAHAR,1573,1924,121,
28,JAWZJAN,,4,0,
29,FARYAB,4,76,0,4
30,HELMAND,220,1439,265,
31,BADGHIS,,25,0,
32,HERAT,17,270,60,
33,FARAH,18,215,0,8
34,NIMROZ,61,265,177,
